Date, Open , High , Low ,Close, Volume 
6/4/2021," $2,857.17 "," $2,857.17 "," $2,562.64 ",2688.195068," 34,173,841,611 "
6/5/2021," $2,691.62 "," $2,817.48 "," $2,558.23 ",2630.576904," 30,496,672,724 "
6/6/2021," $2,629.75 "," $2,743.44 "," $2,616.16 ",2715.092773," 25,311,639,414 "
6/7/2021," $2,713.05 "," $2,845.19 "," $2,584.00 ",2590.263184," 30,600,111,277 "
6/8/2021," $2,594.60 "," $2,620.85 "," $2,315.55 ",2517.438721," 41,909,736,778 "
6/9/2021," $2,510.20 "," $2,625.07 "," $2,412.20 ",2608.26709," 36,075,832,186 "
6/10/2021," $2,611.14 "," $2,619.96 "," $2,435.40 ",2471.518555," 28,753,626,390 "
6/11/2021," $2,472.86 "," $2,495.41 "," $2,326.87 ",2353.768799," 24,832,564,195 "
6/12/2021," $2,354.75 "," $2,447.23 "," $2,265.76 ",2372.484375," 25,724,364,410 "
6/13/2021," $2,372.69 "," $2,547.37 "," $2,312.64 ",2508.391602," 27,092,945,370 "
6/14/2021," $2,508.77 "," $2,606.43 "," $2,469.39 ",2537.891113," 26,964,576,331 "
6/15/2021," $2,587.76 "," $2,639.23 "," $2,515.15 ",2610.936768," 29,005,279,219 "
6/16/2021," $2,544.86 "," $2,554.63 "," $2,354.35 ",2367.663574," 24,101,926,180 "
6/17/2021," $2,367.31 "," $2,457.18 "," $2,312.30 ",2372.001953," 21,871,633,186 "
6/18/2021," $2,374.59 "," $2,377.20 "," $2,147.31 ",2231.733154," 22,752,818,388 "
6/19/2021," $2,235.16 "," $2,278.42 "," $2,168.89 ",2178.499023," 18,765,854,896 "
6/20/2021," $2,171.34 "," $2,275.38 "," $2,049.96 ",2246.364502," 22,535,930,423 "
6/21/2021," $2,245.32 "," $2,259.46 "," $1,867.19 ",1888.44751," 33,745,173,825 "
6/22/2021," $1,886.67 "," $1,993.16 "," $1,707.60 ",1874.950073," 35,547,251,725 "
6/23/2021," $1,878.63 "," $2,043.53 "," $1,827.57 ",1989.736328," 28,408,659,206 "
6/24/2021," $1,968.96 "," $2,032.34 "," $1,887.43 ",1988.456299," 20,272,845,769 "
6/25/2021," $1,989.22 "," $2,017.76 "," $1,794.40 ",1813.217285," 22,774,334,998 "
6/26/2021," $1,810.88 "," $1,850.18 "," $1,719.56 ",1829.239258," 20,637,542,361 "
6/27/2021," $1,831.00 "," $1,979.96 "," $1,811.25 ",1978.894653," 19,885,474,742 "
6/28/2021," $1,981.39 "," $2,139.81 "," $1,963.62 ",2079.657471," 25,514,602,841 "
6/29/2021," $2,083.45 "," $2,242.24 "," $2,076.24 ",2160.768311," 24,815,124,419 "
6/30/2021," $2,164.22 "," $2,282.99 "," $2,090.76 ",2274.547607," 25,828,056,268 "
7/1/2021," $2,274.40 "," $2,274.40 "," $2,081.08 ",2113.605469," 29,061,701,793 "
7/2/2021," $2,109.89 "," $2,155.60 "," $2,021.82 ",2150.040283," 31,796,212,554 "
7/3/2021," $2,150.83 "," $2,237.57 "," $2,117.59 ",2226.114258," 17,433,361,641 "
7/4/2021," $2,226.55 "," $2,384.29 "," $2,190.84 ",2321.724121," 18,787,107,473 "
7/5/2021," $2,321.92 "," $2,321.92 "," $2,163.04 ",2198.58252," 20,103,794,829 "
